center,link,next,amount_of_slots
Kungsmarkens vårdcentral,https://bokning.mittvaccin.se/klinik/595/bokning,None,0
Jämjö vårdcentral,https://bokning.mittvaccin.se/klinik/575/bokning,2021-06-10 13:00:00,30
Nättraby vårdcentral - Martagården,https://bokning.mittvaccin.se/klinik/587/bokning,2021-06-01 14:15:00,4
Wämö vårdcentral,https://bokning.mittvaccin.se/klinik/581/bokning,2021-06-09 13:05:00,23
Lyckeby vårdcentral,https://bokning.mittvaccin.se/klinik/584/bokning,2021-06-10 10:30:00,49
Trossö vårdcentral - Brinova,https://bokning.mittvaccin.se/klinik/586/bokning,None,0
Rödeby vårdcentral,https://bokning.mittvaccin.se/klinik/585/bokning,2021-06-09 13:25:00,1
Hälsohuset för alla - Vedeby,https://bokning.mittvaccin.se/klinik/596/bokning,2021-06-01 11:20:00,44
Tvings läkarmottagning,https://bokning.mittvaccin.se/klinik/594/bokning,None,0
Ronneby vårdcentral,https://bokning.mittvaccin.se/klinik/579/bokning,2021-06-03 09:00:00,14
Kallinge vårdcentral,https://bokning.mittvaccin.se/klinik/583/bokning,2021-05-26 16:05:00,141
Capio Citykliniken,https://bokning.mittvaccin.se/klinik/591/bokning,2021-05-27 11:00:00,2
Samariten vårdcentral - Båtsmansgården,https://bokning.mittvaccin.se/klinik/577/bokning,2021-06-01 18:20:00,90
Läkarhuset i Karlshamn AB,https://bokning.mittvaccin.se/klinik/592/bokning,2021-06-08 10:35:00,49
Brunnsgårdens vårdcentral - Bellevueparken,https://bokning.mittvaccin.se/klinik/580/bokning,2021-05-25 10:50:00,111
Olofströms vårdcentral - ingång på baksidan,https://bokning.mittvaccin.se/klinik/578/bokning,2021-06-08 08:50:00,75
Olofströmskliniken,https://bokning.mittvaccin.se/klinik/593/bokning,2021-06-07 13:30:00,108
Sölvesborgs vårdcentral - Furulundsskolans idrottshall,https://bokning.mittvaccin.se/klinik/576/bokning,None,0
Valjehälsan,https://bokning.mittvaccin.se/klinik/597/bokning,None,0
